tour_food,tour_food_theme,tour_food_tag,tour_food_score,like,zzim,review
신촌덕인당,제주시 > 조천,#음식 #빵 #팥빵,4,2,30,7
연화키친,제주시 > 애월,#음식 #떡볶이 #치즈떡볶이 #튀김 #오징어튀김 #김말이튀김 #순대 #순대볶음 #크림파스타,4,0,22,7
오라숲소리,제주시 > 제주시내,#음식 #흑돼지 #숲 #샤브샤브 #정식 #2022고메페스타,5,8,92,7
와랑와랑카페,서귀포시 > 남원,#감귤스무디 #찰떡구이 #음식 #콜드브루 #아인슈페너 #바닐라라떼 #카페라떼 #스무디 #밀크티 #2022고메페스타 #핸드드립커피 #핸드드립케냐 #핸드드립에티오피아예가체프 #핸드드립콜롬비아슈프리모 #더치커피 #라떼 #차 #에이드 #사과주스 #홍차 #얼그레이 #꽃차,5,2,42,7
제주미향,서귀포시 > 중문,#횟집 #한식 #음식 #갈치 #갈치구이 #갈치조림 #제주갈치조림 #제주갈치구이 #갈치국 #갈치회 #고등어조림 #고등어구이 #옥돔구이 #전복구이 #해물전골 #뚝배기 #해물뚝배기 #전복뚝배기 #전복해물뚝배기 #성게미역국 #회덮밥 #전복죽 #도토리전 #버섯불고기 #고등어회 #광어회 #방어회 #회무침 #매운탕,3,3,49,7
지금이순간,제주시 > 애월,#음식 #아메리카노 #핸드드립커피 #티라미수 #카페라떼 #에스프레소 #카페모카 #카푸치노 #바닐라라떼 #카라멜라떼 #아포가토 #더치커피 #차 #캐모마일 #레몬그라스 #얼그레이 #루이보스 #에이드 #레몬에이드 #자몽에이드 #패션후르츠에이드 #녹차라떼 #초코라떼 #밀크티 #레몬티 #라떼 #생과일주스 #망고스무디 #요거트스무디 #플레인요거트스무디 #큐브라떼 #말차라떼 #케이크 #아이스크림 #자몽차 #밀크쉐이크 #마들렌,4,0,20,7
카이로스,제주시 > 애월,#유기농 #음식 #아메리카노 #카페라떼 #주스 #파스타 #파니니 #에스프레소 #카푸치노 #카라멜마끼아또 #바닐라라떼 #초코라떼 #그린티라떼 #라떼 #차 #자몽차 #레몬생강차 #레몬차 #청귤차 #카모마일 #홍차 #녹차 #콤부차 #미숫가루 #아보카도 #망고주스 #딸기주스 #에이드 #레몬에이드 #자몽에이드 #패션후르츠에이드 #요거트 #아이스크림 #팥빙수 #알리오올리오파스타 #크림파스타 #김치복음밥 #새우볶음밥 #와인 #화이트와인 #레드와인 #하우스와인 #치즈 #샐러드 #그린샐러드 #아보카도샐러드 #치킨샐러드 #새우샐러드,5,0,23,7
흑돈가,제주시 > 제주시내,#숯불구이 #음식 #우수관광사업체 #2022고메페스타,5,2,153,7
흑돼지구이집 하영,서귀포시 > 중문,#한식 #음식 #향토음식 #전복 #전복돌솥밥 #전복뚝배기 #무장애관광,4,5,185,7
기억나는집,서귀포시 > 서귀포시내,#음식 #전복해물탕 #제주갈치조림 #옥돔구이 #고등어구이 #갈치구이 #생선구이 #라면 #칼국수,4,0,35,6
